"State","Year","Overweight Adults (%)"
"AL",2016,26.7
"MS",2021,26.7
"NH",2021,26.7
"LA",2022,26.7
"WI",2022,26.7
"IA",2018,26.8
"VT",2018,26.8
"SC",2018,26.8
"TN",2018,26.8
"VT",2020,26.8
"KS",2020,26.8
"IA",2017,26.8
"WI",2017,26.8
"AZ",2013,26.8
"MT",2013,26.8
"NV",2014,26.8
"AR",2012,26.8
"OH",2017,26.8
"IN",2013,26.8
"MS",2019,26.8
"PA",2013,26.8
"OK",2019,26.8
"TX",2012,26.8
"AZ",2019,26.8
"MT",2015,26.8
"NM",2019,26.8
"CA",2011,26.8
"CO",2012,26.8
"AZ",2015,26.8
"NM",2013,26.8
"SD",2011,26.8
"NC",2021,26.8
"IN",2021,26.8
"RI",2021,26.8
"NV",2021,26.8
"IA",2021,26.8
"LA",2022,26.8
"MT",2022,26.8
"ND",2022,26.8
"LA",2018,26.9
"WI",2018,26.9
"UT",2020,26.9
"MN",2020,26.9
"MD",2020,26.9
"ID",2020,26.9
"MS",2017,26.9
"WI",2017,26.9
"UT",2012,26.9
"IA",2017,26.9
"SD",2015,26.9
"MS",2014,26.9
"IN",2019,26.9
"MO",2019,26.9
"MI",2011,26.9
"IN",2019,26.9
"MO",2014,26.9
"MO",2015,26.9
"CT",2016,26.9
"OH",2016,26.9
"DE",2016,26.9
"VT",2016,26.9
"VT",2021,26.9
"LA",2021,26.9
"AL",2022,26.9
"NJ",2022,26.9
"UT",2022,26.9
"KY",2018,27
"WV",2018,27
"SD",2018,27
"IN",2020,27
"OR",2020,27
"OR",2013,27
"NY",2017,27
"VA",2014,27
"KS",2015,27
"CT",2019,27
"HI",2019,27
"TN",2019,27
"NC",2014,27
"NE",2014,27
"NE",2019,27
"NC",2019,27
"PA",2014,27
"DE",2013,27
"SC",2015,27
"HI",2013,27
"IA",2012,27
"HI",2014,27
"UT",2014,27
"UT",2016,27
"AR",2016,27
"AL",2021,27
"HI",2022,27
"NE",2022,27
"OH",2022,27
"VA",2022,27
"WV",2022,27
"WY",2022,27
"TX",2018,27.1
"OR",2018,27.1
"MD",2020,27.1
"DE",2020,27.1
"WV",2020,27.1
"AL",2020,27.1
"NC",2020,27.1
"WI",2014,27.1
"MS",2011,27.1
"KS",2017,27.1
"MS",2017,27.1
"ME",2014,27.1
"WV",2019,27.1
"TX",2019,27.1
"CA",2019,27.1
"AL",2011,27.1
"CO",2013,27.1
"ND",2011,27.1
"OH",2011,27.1
"KY",2015,27.1
"KS",2016,27.1
"PA",2016,27.1
"WI",2021,27.1
"NM",2021,27.1
"IL",2021,27.1
"KY",2022,27.1
"LA",2022,27.1
"TX",2018,27.2
"NM",2018,27.2
"IA",2018,27.2
"NY",2020,27.2
"NE",2020,27.2
"WI",2020,27.2
